Masked Well Name,Fuel Type,Fuel Value,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100
Richmond 5H,Grid,1661579.7735227235,1658558.6014346082,1657067.0371207248,1670823.8772427214,1664857.0365472003,1665006.8306339048,1652534.822142394,1657516.4021300871,1655823.417446373,1660235.6159888282,1658750.9127834626,1660095.7448469577,1662448.6216715705,1674468.0603034988,1659096.8376950936,1666321.1650776665,1666997.4737653767,1664414.7474441917,1665701.9599634071,1670956.9048106933,1672670.8635196262,1659661.1602978874,1662580.5803637013,1667147.001980443,1659581.1351565833,1665664.9739625026,1666792.5444907919,1662453.1407694644,1659421.2261223672,1661627.4665197101,1653354.4631914264,1650667.7165389548,1656812.6196496317,1658726.4737380121,1664731.275835633,1665004.9463051273,1665002.5298441066,1669501.0936270284,1656907.1745601958,1667141.9901819453,1675194.4741141032,1659041.3014094094,1653260.9405661,1666896.0205116759,1663637.482095598,1655567.0000294447,1653558.34178244,1655672.0752742821,1653778.4461218,1651451.2419457547,1673334.366378045,1667117.5059457046,1653429.3026069964,1664757.4161474926,1651588.1305771912,1665215.6598044708,1657016.2114560106,1653510.398086146,1663139.430260862,1655830.0375095305,1656310.782964948,1661872.9017992867,1662764.009488494,1663765.807492613,1657401.6750582897,1665438.0392844358,1667132.5887421484,1666019.2736736378,1670772.307170369,1664422.807849564,1660472.8055989344,1667083.7213187714,1666315.3195496758,1657973.2502637398,1662715.088539153,1657099.77794577,1663327.3216199148,1660505.8250879939,1659911.84028042,1654974.495973875,1666197.6403477793,1670121.805001845,1652450.6687920028,1650408.4296322023,1652341.6408603897,1668791.1876987934,1658982.8427082815,1665783.0766138518,1658589.5426909253,1665561.9124079065,1654656.9078046982,1650715.7272839793,1659246.3225085675,1655539.8531220874,1662067.7794458182,1668997.120049691,1659465.417738722,1666632.0100558423,1671018.8775891848,1657079.1003812987,1667195.983284272
Mecosta 3H,Grid,2866482.3635624503,2867711.704696621,2863394.490601995,2866237.3621423016,2869294.5173221272,2855608.7058055415,2867110.8611600776,2870152.977189402,2866784.0526467212,2858672.187384225,2872789.2566830562,2866413.52321791,2859858.0330938194,2861991.1069650836,2864570.031577066,2865104.526743765,2867095.977298574,2857719.4346972243,2875816.6505666943,2871596.0867524683,2864204.9915054613,2868505.2733799685,2860432.6599319917,2869198.677032524,2874486.133216241,2862242.006860553,2863117.511261508,2869351.9776862767,2871680.3884115145,2867665.448034672,2868178.23088582,2875187.4715622407,2866665.9268225743,2873526.3309182506,2857266.9399484983,2863475.818854761,2877795.705728552,2870625.9194509634,2868461.383649992,2858747.6692514396,2863455.981595233,2870364.6770755895,2863679.6646233606,2866746.954402125,2869681.919133537,2863657.0811198037,2865345.853121443,2857356.338775644,2865155.2096277564,2864180.5527832736,2857852.6091272435,2861102.573437497,2861807.097693741,2866580.656423272,2871617.535246128,2874334.383305655,2868731.0641367063,2863622.745219601,2874637.063661616,2865651.783292665,2857196.9727307595,2866703.891980897,2865586.5620510923,2866465.013319272,2863785.1086122547,2873986.549739163,2858762.091279429,2865550.9852111666,2865198.167556349,2863037.318337898,2871687.5725268438,2869418.451873769,2863489.5676640174,2861830.5518164313,2866829.457838795,2863491.8527548374,2870056.4249366974,2880495.304778639,2871650.6897845645,2869111.0448600654,2868647.5727745704,2866898.355597804,2866310.8110712874,2862504.186328965,2863816.7375827134,2869094.403106725,2866598.956447826,2863943.480152489,2869212.048811198,2858079.4820613926,2865571.340301127,2861450.056189385,2870445.2933852426,2858942.117631455,2860663.944765027,2866904.144423235,2856586.774755355,2869490.2152335793,2860680.7175819566,2864347.9954379788,2868733.907383407
St. John the Baptist 4H,Grid,869670.2508271078,868292.8105127527,861689.8637451028,865270.604905474,859723.5956471543,874951.1640011352,872421.437858566,860720.6580033671,866200.2394236968,869066.9067791617,873913.2959482751,873550.3001582782,864765.4393723755,868325.2074557951,861640.4060677423,865607.8636879533,872308.818175726,871696.1389057324,869329.1749425301,863214.6516690836,873944.0323822226,871578.8840155905,868768.8228202503,872965.2564014876,869676.4016071025,875067.8625888539,867238.1000780908,865039.2884822412,859525.3029539187,866620.1459598783,867314.8890310666,870474.7414586705,870999.5020722757,882881.0453147123,870716.8855912372,874509.5312568614,870019.5062423242,862917.3387351786,875814.4785677203,867607.6550646339,867485.2742706618,875375.8135076324,865280.9509814157,873487.2228866504,860918.4758157274,867794.1261900759,863066.4588596984,867833.1457031257,882655.5996948181,861563.7615400697,869106.4888099333,878646.5789354887,859854.6588287178,872337.643668453,879536.8749874433,874096.8286663907,876535.8083059704,873351.2423583159,859418.3844865399,868388.599576523,875721.0328576971,868737.6083627288,868882.6073009502,863663.4061425864,867425.6366401288,870353.5305389682,866204.9137304017,872142.3511818565,875791.7758226347,871438.2829628427,873479.812664852,867200.6296979652,872689.5255071383,877943.6672167578,868800.7861288001,865444.9310792651,865937.7605584719,866994.9642001301,870991.8397033868,870035.5508378366,865857.038844746,879085.0106720992,872274.1302452957,862238.6247279044,868741.3512542754,873113.6279585287,870708.6982018908,860658.0650318075,872208.2462712768,873955.9779590397,873030.6281210338,864661.1777899489,863787.0935240277,874676.6638311461,869071.4854896901,861805.517171791,867958.41128718,877848.6191004657,862532.154499301,874226.5407122446,870379.2337559434
Owyhee 1H,Grid,2550300.7569165663,2557414.8650272964,2558773.7272238415,2539693.3659586026,2553763.7732787854,2541693.451951991,2554090.2240635618,2556587.0784925716,2552902.8001590935,2543375.565767439,2544124.7354823113,2548161.0255627963,2539222.4237123104,2558761.239999638,2551498.6357879885,2555660.4965989236,2557043.086754633,2551217.0648490977,2550182.2095916593,2547479.0702172117,2548768.9104529833,2549859.805653463,2558272.210993813,2550643.48422754,2550734.131829936,2553800.6726348754,2544254.1252810974,2544026.846826782,2543732.8349843225,2546040.0091718016,2554673.829468366,2551383.8499399954,2556904.3192808167,2549287.379137048,2551748.583492547,2546630.9821250485,2552234.6932599107,2552494.8338098424,2545099.162747767,2545190.8536697,2551972.7461674553,2555137.862765147,2549285.2820852865,2555714.116108883,2552379.9591312376,2552024.723404848,2552187.9638232617,2538005.792200783,2544180.745673004,2548954.7282659365,2550397.6457409495,2550745.894521117,2547599.714896756,2556370.3178831795,2552128.9606746226,2553630.2383226235,2550170.851203902,2549115.892953576,2544367.588254482,2553842.0974050364,2550785.624265132,2552766.36763335,2545621.9851637366,2542785.859157638,2543901.116525095,2560259.2564411354,2558761.68385762,2550155.546073106,2553981.8731166963,2545446.4559739265,2543839.5866700634,2545818.7790984083,2543207.5585709275,2555282.432934239,2546689.215153061,2559155.5948875104,2546531.247782102,2553801.950942729,2551885.846089561,2558224.9730480798,2555394.0592860193,2558362.6093521044,2546217.979318982,2549851.607469641,2550115.279604088,2542480.558822411,2547468.3840995943,2547570.2182689463,2551629.951211412,2551996.4876694675,2565569.802819235,2553548.7088323818,2549295.942098271,2562220.018726154,2554331.9739328497,2553768.26151929,2557205.8688716693,2556232.723662854,2542942.0122463084,2560391.3380676657,2546204.293102025
Pinellas 2H,Grid,1497257.9409852782,1499006.6934224744,1496637.8122939838,1501962.8762941055,1493274.3164874846,1495297.5661349306,1500270.6963557897,1511550.8641317487,1494795.3198570209,1506292.736605859,1501348.0571334453,1509094.706984805,1500182.1352759234,1510421.6915780755,1493818.3992523996,1494290.910012179,1501609.5324921084,1494546.2985615206,1495804.5402386554,1494968.6495255814,1494595.2978999782,1493330.6044191658,1498060.0750275932,1502750.1610341992,1494268.7427478756,1493265.1659382707,1499848.4836105788,1494506.518573659,1498403.361665577,1502699.0683972985,1488155.6374525833,1501197.757529545,1497036.6133495963,1508690.0207395803,1497332.8316821854,1496079.7447022118,1500937.2237177598,1498247.783750808,1497805.4125504433,1505817.3255636054,1496373.092995327,1505191.877343291,1503167.5872342023,1487364.9688430324,1503052.5746347208,1491016.27089963,1493167.496222654,1492122.4317602892,1492906.494819799,1496589.156002146,1491992.8170172363,1501885.7002502205,1495730.967483528,1505046.6755798329,1502948.1516663826,1495530.067272899,1500576.2692208656,1496970.7894316092,1491961.0131975794,1492576.2786352998,1501094.9204283305,1501890.0225799996,1496436.50258435,1493972.0802710957,1491489.7801175627,1491943.0965998282,1501884.179670189,1490029.6491779513,1494566.7765752526,1489471.9572040003,1502778.5822581213,1503149.4033192764,1487727.887810515,1499049.049554134,1490204.305909282,1504082.4681319627,1490561.9776719538,1487359.7940282042,1497719.3872746301,1503061.5310897196,1504166.0317707115,1500686.6678170436,1500280.924800815,1498227.3630897608,1500586.736925334,1498969.2870868896,1492995.8713322815,1500234.450715648,1499408.0515482137,1500705.8403495501,1499326.848233955,1497925.3165219398,1506257.644633289,1491380.4302320331,1509154.4104424117,1492273.3525558533,1494871.2986607566,1500776.7626824058,1489866.0218603797,1490754.2294663659,1505258.0944363375
Pinellas 6H,Grid,1279107.1028450194,1279929.0195245224,1276308.2497287248,1278372.2786120956,1280795.571247286,1270202.532565713,1271696.0534336562,1280893.2628581056,1269315.664772697,1280737.3559267407,1275299.5319092132,1273137.9591765804,1286269.506261425,1280866.2039204638,1283019.085430679,1291374.996037694,1279038.0330143704,1275054.3557705479,1278438.2402163688,1272505.3586891906,1275663.6196740877,1279494.9924379329,1286294.312048764,1290552.5861252523,1277921.8216053569,1277278.5915576397,1276541.48107666,1285774.3269046033,1278543.7557836806,1277952.0365543093,1284199.0513877044,1276427.4905422975,1288915.3102150918,1278620.0489533655,1280525.9633846595,1286146.455819241,1272413.408081549,1287544.243503506,1275862.6291317644,1274467.0166318412,1279325.6798112309,1282373.2109505984,1274122.4442113119,1293089.1616009304,1275719.7172083294,1278487.6337907098,1275864.702249282,1280020.2827573488,1282224.0375430689,1278554.2125739243,1270584.2783035182,1282432.372445663,1280840.9457440448,1278319.9115157714,1274433.6400879587,1286442.377471073,1285553.4151831968,1269921.4463253843,1279359.1277741105,1285113.5152414644,1282194.5867992998,1284406.8864725279,1280663.537210674,1273099.0608723545,1286052.7539421844,1277881.0533060927,1280848.191679932,1280262.93156179,1278150.3544961181,1263928.2213628667,1281307.8847360446,1276712.3040628745,1281006.1966419497,1275862.5035211442,1279574.4163379779,1284291.905884695,1282246.2791718731,1282875.7453268273,1282078.0672946894,1279482.67851728,1276297.1127569631,1277330.8029173731,1284435.2465992945,1274938.5271719377,1281801.867620645,1279604.447851658,1274777.7390806316,1281412.605385234,1279958.552187025,1277846.22450834,1274673.353645108,1279075.0701118526,1276921.6810243286,1277943.5088408832,1274974.2280075327,1275949.1470445092,1280128.954463589,1280850.7107663818,1287078.91477097,1285412.2983352845,1284888.4327093347
Buchanan 6H,DGB_CNG,5991.54090868816,1516.3985268250754,18653.11973115797,4449.009224198318,1725.405604224089,7261.807903430151,0.0,0.0,775.4316226173441,0.0,3164.249369136744,9139.664781554118,0.0,6839.912604959797,3430.023381195739,5577.816846936652,6534.450987521158,11206.504088072761,10638.505629851461,7778.769078714975,3810.6309594135228,4231.695270331266,17277.82023489228,7979.844656505869,7415.362072201944,0.0,0.0,813.0614305717072,12484.191225986851,3148.49900533315,5743.670045279355,8695.798677611047,6732.292129675165,0.0,0.0,0.0,5605.482219192754,1958.4497824332502,11595.234609872125,2729.468052251789,11785.28205709089,1933.416958646519,11856.857379225916,5399.310968944519,5620.4031504447985,6072.915517156207,2555.597230609861,8595.524640666223,8087.26512473646,0.0,10787.180187265947,5612.330547334301,13238.026940036973,78.82493392260221,7272.093933032167,1100.8888477151831,602.9933207951399,1760.3475238998426,6653.961762309355,9133.01771107872,5971.471474802431,9060.896147793874,8001.261751162672,0.0,6040.7298912358065,14588.727167356694,8572.680347670166,2280.143188058449,0.0,5525.173351859798,710.1624166375113,0.0,5733.552521545969,10108.885927748102,1173.590600234972,10594.722853593245,4954.1899043749645,9626.830174918563,6606.682960766864,10724.125052278223,9265.998748932194,1671.4928310026953,18224.5972237603,3659.9851583385303,1614.830594174362,17819.466972810704,3229.7996665077408,11344.97638665008,11360.048672920617,2889.4490733755715,11442.03344105163,0.0,158.18895259170222,11428.340190505987,8305.237246150074,8801.525534686756,5570.384918322084,10050.703043525697,3746.3053048152506,4520.86410426526,2103.1731695264066
Yabucoa 1H,Turbine,8305.78623956961,11171.368902832004,1087.2568978922682,0.0,17616.557987195876,2820.995658672273,12096.259347087669,9296.509599468221,0.0,6946.2574392036695,18893.49230708693,7710.066980820867,2177.708824569966,10873.05229366035,9364.74453835827,1649.7316689284007,4213.163804385623,5783.095596001605,12416.90575997869,9351.492496632054,8486.465467652786,12243.566465226264,4607.912093860623,8051.8957378236,0.0,10123.173899981985,4470.619995014726,6385.676730781422,16386.234489319104,5895.367719487155,18804.829666440346,7778.062865466697,1405.3931377442213,4220.350912946469,13448.641106946887,7507.718136200781,8006.850595782896,15017.176301643056,6619.372221697067,5722.560738120286,6898.477549521858,8608.80319836633,15221.600462306542,7157.756385090067,12432.027258547772,5590.547998906386,2974.577844171662,11363.772642712825,10166.140960084802,13633.065814559317,8478.795899216022,10347.947775552124,11601.680288258729,8629.344623420564,6689.426608723979,9951.017922983709,1580.4382499451076,14790.73031265859,1786.2709081079774,15892.310218959781,15085.359116182057,12430.640104548303,10642.588368559087,20260.06485219697,212.07282807243246,14843.034386161698,5535.306472602083,561.5978957974285,3625.7235213580007,2324.667003769763,7654.477475209651,13329.683443580525,7378.23462174812,7360.148940447077,839.2579161104723,0.0,7910.621964198363,2056.3425842814395,14068.196045092158,12095.048052651331,8170.361409394641,14270.403622029682,18874.623118608506,12813.954215504618,7817.575071639914,4827.845674845668,9601.52583266164,10277.206304075073,5588.685450523915,19829.858079851256,12546.87692186165,2540.427118222434,14622.585996276244,8818.324744810232,12185.307376078363,1879.951889577761,11134.180176970847,16526.622349820114,4127.658619333404,8064.707251456689,14153.913767596358
Queen Anne's 1H,DGB_CNG,7107.016454874984,12305.89507879538,18640.22776049304,0.0,193.75520387782035,16862.85740342644,4567.448065170656,3691.106410781235,0.0,6120.780520843321,7045.3529395284095,9032.170943892197,9293.380285933239,9827.02275451339,17090.030517131367,15046.685712746594,11647.259585466352,7935.54503211659,11615.241948015548,14292.620154342912,5338.665975098031,4980.36462632328,2304.6961780621596,1022.9306142430232,13551.384587627395,6298.722846713761,0.0,7753.515189196521,7562.332599506541,0.0,3408.6654660319755,11873.380763172485,13473.89475414855,10641.426422164841,3943.247370906451,8891.374664645418,6731.492915501881,0.0,1765.3145428076468,5088.773653554239,18456.43913106066,13600.038440940656,1592.7963162557944,0.0,4624.690207184156,4021.3581495720287,19016.468292867357,2721.661392692946,726.7584258962779,3554.141906308505,2653.304794777622,16907.49149066684,2438.1434182407147,0.0,5155.838152148659,13443.01370204869,15102.705700725644,9296.152545718774,16390.713120151802,7491.800861114777,3593.424389334904,5103.716808787871,11549.818281754304,7958.176573257036,11907.363443257567,0.0,12810.564351802761,6928.823206532207,1948.128570965061,11504.004794616938,14700.449784018343,5904.043850043716,546.1357607623222,16773.987715666444,16260.093155936578,11481.704208580832,10773.983844505277,2933.369488486259,0.0,6477.488316027344,0.0,6195.876063809418,225.7214217239416,4509.120823160416,6768.103732558959,8484.11112209201,0.0,20068.75280545464,9647.268027758306,5736.170734979531,10613.234443154066,8739.205120226092,3373.312642221997,13494.872123278841,8107.543718453158,4034.608300615773,8254.907215450823,13368.09966768533,0.0,13018.294727525274,17548.27221299391
De Soto 3H,Turbine,13542.660262127403,21982.12230581681,17748.76160960996,12622.793601843605,18201.285164336623,5222.925340697395,16366.278288831683,3629.261519752101,18226.379070469244,22087.66091980534,6632.319405256022,16186.53908880512,28365.34680653135,22755.246452733718,16626.60793362259,2283.504329340569,11099.500122640753,9994.417512744083,11206.026723572022,26101.535962494414,15020.664894996287,9219.642259146982,13523.079520335537,10853.73169695209,18706.876929748105,13759.006792139771,0.0,9518.180369418567,10878.332983188748,8973.837450745079,11123.381984765787,12065.748915699744,12145.655510618999,11638.776907398586,20943.00189142873,10769.92509718828,30388.450656687113,10153.608052339081,7743.1169656498,12467.432701311645,12378.737716295083,13182.366004723399,6385.162391162147,18491.40091452576,21596.557836864402,13544.489402555113,14464.387373203026,7209.691213658371,16951.883760219047,12724.519689209106,16649.57141552546,9178.160261468554,10732.056286116042,22742.227390570588,4518.008109956892,9144.321930362406,19248.891382406022,18475.369076456955,11519.269903550012,0.0,12691.054146712071,11181.116462740225,13020.183378170352,13691.704450372408,13592.018593612906,18996.57888593508,7631.180146121355,12809.10832508061,21092.791095340057,14025.814732439043,9806.957367814273,4293.928210100041,12341.704516240883,17586.38464465932,16303.990471836794,18462.99098228574,8603.839342452913,18655.28806330548,13096.394545735944,19703.68867620254,16823.67416489629,13116.020025815858,18716.15360477338,17538.35197436515,696.6418611432982,11771.315334445626,11410.478608749552,19540.09044688948,9330.290645762849,13766.567950023804,13589.492873469988,10384.610700269375,19103.41714729282,9233.394989247776,17294.43544149854,12263.49317757825,21709.067217304684,9996.108572332605,21844.23531857683,10512.974136936595,12848.385949936941
